Id,Nombre,Tipo,Localidad,Provincia,Latitud,Longitud,Altura,Id Interno,Ubicacion,Desde,Hasta
434,Malargüe - EEA Rama Caida,Nimbus THP,Malargüe,Mendoza,-35.38,-69.57,1421,A872935,"Ruta Nac. 40, El Chacay Malargüe (CP 5613)",11/11/2015,22/07/2019
364,Malbran - EEA E Sgo del Estero,Nimbus THP,Malbrán,Santiago del Estero,-29.32,-62.46,82,A872961,"Ruta Nacional 34, Km 467.5 C.P: 2354 Dto Aguirre",02/06/2016,23/09/2020
372,Manfredi - EEA Manfredi,Nimbus THP,Manfredi,Córdoba,-31.86,-63.75,292,A872907,"Ruta Nac. nro. 9, km 636. C.P: 5988, Córdoba",14/11/2012,23/09/2020
627,Mansilla,Omixom,Sin asignar,Entre Rios,-32.48,-59.33,0,91088,Tala,31/03/2017,12/01/2019
570,Maria Grande,Omixom,Sin asignar,Entre Rios,-31.69,-59.91,0,91050,Parana,31/03/2017,12/01/2019
531,Maria Grande 2da.,Omixom,Sin asignar,Entre Rios,-31.69,-59.65,0,91008,Parana,23/05/2017,25/10/2017
647,Mbocaya,Omixom,Sin asignar,Corrientes,-28.41,-57.92,0,32010,Concepcion,31/03/2017,12/01/2019
447,Medanos - EEA Hilario Ascasubi,Nimbus THP,Medanos,Buenos Aires,-38.87,-62.66,29,A872840,"5 Km al sur de Medanos, C.P.: 8132 Pdo. Villarino",12/11/2014,23/09/2020
440,Mercedes - EEA Mercedes,Nimbus THP,Mercedes,Corrientes,-29.2,-58.04,99,A872915,Calle Juan Pujol s/n - CC38 - 3470,11/02/2014,23/09/2020
240,Miramar - EEA Balcarce,Nimbus THP,Miramar,Buenos Aires,-38.15,-57.99,12,A872819,"Ruta Nº 77, km.20. CP:7607 Gral Alvarado",11/11/2010,23/09/2020
536,Mojones,Omixom,Sin asignar,Entre Rios,-31.56,-59.21,0,91004,Villaguay,18/04/2017,12/01/2019
572,Mojones Norte,Omixom,Sin asignar,Entre Rios,-31.48,-59.33,0,91052,Villaguay,31/03/2017,12/01/2019
550,Mojones Sur,Omixom,Sin asignar,Entre Rios,-31.65,-59.2,0,91028,Villaguay,31/03/2017,12/01/2019
